32768 06441 06581 
32768 59304 08371 
32768 01148 04442 
32924 05922 02403 
34502 02777 01528 
32768 62042 06400 
32768 09884 03913 
32768 57674 08129 
32768 00998 06953 
32768 59680 06456 
32768 62012 07814 
32768 03172 07508 
32768 01395 08143 
32768 59697 05892 
33198 07200 03808 
34954 00104 02422 
37785 00988 61694 
40842 04624 55942 
42760 62930 51629 
44255 53310 50908 
45795 61474 48703 
45626 57107 49301 
32768 04685 05403 
32768 07734 07007 
32768 15382 01142 
33399 63633 04377 
33694 55125 05435 
35670 12582 02305 
35067 03653 03170 
34279 57531 02855 
35096 03684 01861 
32918 54647 04297 
33480 09792 02458 
32768 01548 04120 
32768 01202 04954 
32768 60266 00471 
34297 53733 63900 
37434 58877 59345 
40436 61017 55475 
43015 01276 56387 
43385 00346 52271 
44489 02653 48293 
43011 48001 50439 
43479 05671 48846 
41664 57177 53487 
40362 60176 52921 
40196 06528 50089 
32768 63022 08219 
32768 06768 07834 
32768 13852 05336 
24575 01900 00016 
23853 58677 65165 
24421 56972 00721 
24846 61325 01243 
23682 61311 01243 
22919 63436 65192 
22534 58863 02488 
22582 04776 00521 
21554 57033 02191 
22461 04275 64676 
22528 59406 03462 
23010 02114 65531 
23753 02324 00886 
23801 11560 61353 
23809 65213 64213 
23987 60627 02334 
24758 65246 00960 
23983 55613 00852 
24024 64985 62158 
24318 65413 00304 
23439 60896 01460 
22916 65383 00628 
22979 06968 65533 
21873 58517 03728 
21959 65370 65067 
22135 00243 01129 
22463 62866 01397 
23079 04598 01161 
23317 62900 65402 
24707 00117 03272 
24765 04864 01801 
24641 06969 64808 
24297 04930 00863 
23724 11499 63679 
23081 63674 01097 
23073 00617 01857 
23087 63776 02878 
22933 52834 04026 
23821 59197 02834 
24144 61088 00551 
24478 02300 00793 
24912 04877 64801 
25000 07177 00126 
23845 61296 01748 
24387 63672 00575 
23582 00466 00695 
23962 16220 62085 
22107 04820 00823 
21457 59061 02949 
22989 11957 00159 
06400 59942 00216 
06471 07563 64619 
05978 07788 63450 
05148 60041 02778 
05860 07298 62925 
07166 03021 01314 
07602 57929 02523 
07599 01305 02422 
07260 64382 01336 
07803 07411 63267 
07731 07454 63375 
07003 55138 01387 
07528 03613 64185 
07345 59782 65228 
08508 08214 64270 
07820 05761 63039 
06752 64501 00426 
04842 52985 02109 
04955 53112 03877 
04982 01384 64447 
05400 06091 64290 
05973 62609 04496 
07178 10820 64811 
06670 57703 02509 
07148 05840 64030 
06652 64552 64043 
07393 62141 03154 
07190 64414 01403 
07451 01403 00383 
07568 06125 00878 
07208 59512 64302 
07617 57393 00500 
07731 01105 65047 
08371 62327 00142 
08328 07190 64012 
06866 05672 65134 
06236 03039 64229 
06767 03149 63347 
06974 64719 01021 
07403 09619 62824 
05929 62674 01259 
05381 05701 64825 
05579 10110 64045 
03967 53909 01562 
04928 64529 64991 
05682 07703 64377 
05628 62496 00997 
05974 62288 00876 
06436 56054 01478 
06669 65024 02787 
